page,country,rev_id,score,FIPS,Type,TimeFrame,Data (M),Population,Region
Antoine Bangui,Chad,782638002,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ibrahim IV of Bornu,Chad,785614014,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Hadjé Halimé,Chad,786449636,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Youssouf Togoïmi,Chad,787390241,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Adoum Younousmi,Chad,787719236,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
François Tombalbaye,Chad,787738541,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ahmat Hassaballah Soubiane,Chad,787910771,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ahmad Allam-Mi,Chad,787921293,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Laotegguelnodji Koumtog,Chad,788009613,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Mahamat Ali Adoum,Chad,788014671,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Mahamat Saleh Annadif,Chad,788658822,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Mohamed Bechir-Sow,Chad,788827248,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Gontchomé Sahoulba,Chad,788828388,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Gabriel Lisette,Chad,788828519,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ali II of Bornu,Chad,788999424,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Arabi El Goni,Chad,789126126,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Dunama Dabbalemi,Chad,789935196,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Idris Alooma,Chad,792734868,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Mahamat Nouri,Chad,792954115,B,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Idriss Ndele Moussa,Chad,796654025,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Mbaydoum Simeon,Chad,796690873,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ngarindo Milengar,Chad,796700718,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
List of Prime Ministers of Chad,Chad,797747674,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Idriss Déby,Chad,798286150,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Saleh Kebzabo,Chad,798626040,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Moussa Faki,Chad,799043301,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Kalzeubet Pahimi Deubet,Chad,799413193,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Haroun Kabadi,Chad,799447895,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Nagoum Yamassoum,Chad,799447995,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Outel Bono,Chad,799448338,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Ahmat Acyl,Chad,799902492,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Djimrangar Dadnadji,Chad,800133552,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Delwa Kassiré Koumakoye,Chad,801029539,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Fidèle Moungar,Chad,801192255,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Jean Alingué Bawoyeu,Chad,801192303,B,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Emmanuel Nadingar,Chad,801573576,C,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Roger Djikisna,Chad,801583221,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Firmin Djidingar,Chad,801583260,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Idris I of Kanem,Chad,802874918,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Vice President of Chad,Chad,803166509,Stub,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Hissène Habré,Chad,803166806,GA,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
Negue Djogo,Chad,803166989,Start,TD,Country,2019,16.877,16877000,MIDDLE AFRICA
